model_type	model_name	endpoint	score	score_label	n	events_or_cases	effect_type	effect	ci_lower	ci_upper	coef	se	p_value	covariates	status	note	fdr
ols	PR RNA-subtype probability adjusted for age, sex, ISS	PR	plasma_secretory_score_z	Plasma-secretory score	690		beta_per_1sd_score	0.09408318568286003	0.06562291376641122	0.12254345759930885	0.09408318568286003	0.014520546896147358	1.7606415662017704e-10	age_z,male,iss_stage_num	ok		9.50746445748956e-09
ols	PR RNA-subtype probability adjusted for age, sex, ISS	PR	clinical_subtype_module_score_z	POU2AF1/XBP1/JCHAIN module	690		beta_per_1sd_score	0.06477800282748222	0.04023624379057408	0.08931976186439036	0.06477800282748222	0.01252130563107558	3.022046708392106e-07	age_z,male,iss_stage_num	ok		8.159526112658687e-06
ols	PR RNA-subtype probability adjusted for age, sex, ISS	PR	JCHAIN_z	JCHAIN	690		beta_per_1sd_score	0.03862452852536584	0.021720739930725437	0.05552831712000624	0.03862452852536584	0.008624381936041021	8.804118461587262e-06	age_z,male,iss_stage_num	ok		0.00015847413230857073
logit	1q21 gain/amplification adjusted for age, sex, ISS	Cp_1q21_Call	plasma_secretory_score_z	Plasma-secretory score	660	233	odds_ratio_per_1sd_score	1.8725404657208784	1.4085230000652884	2.4894217528571656	0.6272960467075775	0.14528286175091257	1.5762305463685165e-05	age_z,male,iss_stage_num	ok		0.00021279112375974972
cox_ph	OS adjusted for age, sex, ISS, cytogenetic high risk	overall_survival	JCHAIN_z	JCHAIN	630	124	hazard_ratio_per_1sd_score	1.5256715608559206	1.2302975836733607	1.8919599148156414	0.42243468090031727	0.10978500144511968	0.00011916577890970007	age_z,male,iss_stage_num,Cytogenetic_High_Risk	ok		0.0012869904122247608
cox_ph	OS adjusted for age, sex, ISS, 1q21	overall_survival	JCHAIN_z	JCHAIN	660	128	hazard_ratio_per_1sd_score	1.42789145411323	1.1597836199149785	1.7579779277095324	0.3561988485025448	0.10610479354084626	0.000787795326783007	age_z,male,iss_stage_num,Cp_1q21_Call	ok		0.007090157941047064
cox_ph	OS adjusted for age, sex, ISS	overall_survival	JCHAIN_z	JCHAIN	742	147	hazard_ratio_per_1sd_score	1.3827631090176604	1.1409360567541225	1.675846603621047	0.3240837502437778	0.09807893997022833	0.0009520865943651309	age_z,male,iss_stage_num	ok		0.007344668013673867
ols	PR RNA-subtype probability adjusted for age, sex, ISS	PR	XBP1_z	XBP1	690		beta_per_1sd_score	0.028851207821451792	0.011518975648279622	0.04618343999462396	0.028851207821451792	0.00884297559855723	0.001158687707752134	age_z,male,iss_stage_num	ok		0.007821142027326906
logit	17p13 deletion adjusted for age, sex, ISS	Cp_17p13_Call	POU2AF1_z	POU2AF1	660	86	odds_ratio_per_1sd_score	1.4917250119963144	1.1671998706012068	1.906480258834518	0.3999331764812425	0.12516610669254138	0.0013972456199947436	age_z,male,iss_stage_num	ok		0.008383473719968462
logit	1q21 gain/amplification adjusted for age, sex, ISS	Cp_1q21_Call	TXNDC5_z	TXNDC5	660	233	odds_ratio_per_1sd_score	1.3126237935441323	1.1075976889243702	1.5556020390864491	0.2720280299266623	0.08665030825294437	0.0016930717358432166	age_z,male,iss_stage_num	ok		0.009142587373553371
cox_ph	OS adjusted for age, sex, ISS	overall_survival	plasma_secretory_score_z	Plasma-secretory score	742	147	hazard_ratio_per_1sd_score	1.5570891744219062	1.1771894558551206	2.059589206344612	0.4428181644436082	0.1426981551410039	0.0019145268793613482	age_z,male,iss_stage_num	ok		0.009398586498682983
ols	PR RNA-subtype probability adjusted for age, sex, ISS	PR	POU2AF1_z	POU2AF1	690		beta_per_1sd_score	0.026277784251787242	0.008766041372717793	0.043789527130856695	0.026277784251787242	0.00893456269340278	0.0033803898177978257	age_z,male,iss_stage_num	ok		0.015211754180090216
cox_ph	OS adjusted for age, sex, ISS, cytogenetic high risk	overall_survival	plasma_secretory_score_z	Plasma-secretory score	630	124	hazard_ratio_per_1sd_score	1.546646211656173	1.1372552564677054	2.10341037372758	0.4360888522602982	0.15687304220237258	0.00543783275785457	age_z,male,iss_stage_num,Cytogenetic_High_Risk	ok		0.02258792068647283
logit	Cytogenetic high risk adjusted for age, sex, ISS	Cytogenetic_High_Risk	JCHAIN_z	JCHAIN	630	191	odds_ratio_per_1sd_score	0.7947272217084935	0.6738791194071986	0.9372472580543859	-0.22975634055383776	0.08415724064352813	0.006331817964229441	age_z,male,iss_stage_num	ok		0.024422726433456415
cox_ph	OS adjusted for age, sex, ISS	overall_survival	clinical_subtype_module_score_z	POU2AF1/XBP1/JCHAIN module	742	147	hazard_ratio_per_1sd_score	1.4112463212497195	1.0956264741476591	1.817787563768246	0.3444732297465175	0.1291565854941133	0.0076509430964664575	age_z,male,iss_stage_num	ok		0.026818669812397684
cox_ph	OS adjusted for age, sex, ISS, cytogenetic high risk	overall_survival	clinical_subtype_module_score_z	POU2AF1/XBP1/JCHAIN module	630	124	hazard_ratio_per_1sd_score	1.45208462497507	1.1024911713589243	1.9125321026289976	0.3730001963675656	0.14052442647881372	0.007946272537006721	age_z,male,iss_stage_num,Cytogenetic_High_Risk	ok		0.026818669812397684
ols	PR RNA-subtype probability adjusted for age, sex, ISS	PR	TXNDC5_z	TXNDC5	690		beta_per_1sd_score	0.02427108886402778	0.006101366960151813	0.04244081076790375	0.02427108886402778	0.009270266277487739	0.009035756433822085	age_z,male,iss_stage_num	ok		0.02870181455449368
cox_ph	OS adjusted for age, sex, ISS, 1q21	overall_survival	clinical_subtype_module_score_z	POU2AF1/XBP1/JCHAIN module	660	128	hazard_ratio_per_1sd_score	1.4340809350785084	1.0901706959230122	1.886482672894085	0.3605241806673889	0.1398928035320824	0.009961985993169617	age_z,male,iss_stage_num,Cp_1q21_Call	ok		0.029885957979508854
logit	17p13 deletion adjusted for age, sex, ISS	Cp_17p13_Call	clinical_subtype_module_score_z	POU2AF1/XBP1/JCHAIN module	660	86	odds_ratio_per_1sd_score	1.5582923523681866	1.1019625436198068	2.2035912831234734	0.44359057578119493	0.17678461994073344	0.012099989841531718	age_z,male,iss_stage_num	ok		0.03438944481277435
logit	ISS III adjusted for age and sex	iss_stage_III	plasma_secretory_score_z	Plasma-secretory score	742	211	odds_ratio_per_1sd_score	1.3873096109906464	1.0600669071495097	1.815572152820325	0.3273663399192584	0.1372624050178038	0.01708064209002361	age_z,male	ok		0.04450027099634617
cox_ph	OS adjusted for age, sex, ISS, 1q21	overall_survival	plasma_secretory_score_z	Plasma-secretory score	660	128	hazard_ratio_per_1sd_score	1.459565365885339	1.0690279649172927	1.9927739284695145	0.37813869680132894	0.15887189041600597	0.01730566094302351	age_z,male,iss_stage_num,Cp_1q21_Call	ok		0.04450027099634617
logit	ISS III adjusted for age and sex	iss_stage_III	XBP1_z	XBP1	742	211	odds_ratio_per_1sd_score	1.1763571883710888	0.998588107897412	1.3857727962994095	0.16242253496739686	0.08358950241265707	0.052004405336952796	age_z,male	ok		0.1260447698086103
cox_ph	OS adjusted for age, sex, ISS	overall_survival	TXNDC5_z	TXNDC5	742	147	hazard_ratio_per_1sd_score	1.1770754807866461	0.9974145474889262	1.3890981347296791	0.163032956032146	0.0845008962232817	0.05368573528885253	age_z,male,iss_stage_num	ok		0.1260447698086103
logit	1q21 gain/amplification adjusted for age, sex, ISS	Cp_1q21_Call	JCHAIN_z	JCHAIN	660	233	odds_ratio_per_1sd_score	0.8592048507037421	0.7337204953633909	1.0061501350145792	-0.15174790963855922	0.08055061722352315	0.05958085157389826	age_z,male,iss_stage_num	ok		0.1340569160412711
logit	17p13 deletion adjusted for age, sex, ISS	Cp_17p13_Call	plasma_secretory_score_z	Plasma-secretory score	660	86	odds_ratio_per_1sd_score	1.4016537718162578	0.9550929226659174	2.0570074904993856	0.33765280505902057	0.19571400360868785	0.0844849869107479	age_z,male,iss_stage_num	ok		0.17967433711902203
logit	ISS III adjusted for age and sex	iss_stage_III	clinical_subtype_module_score_z	POU2AF1/XBP1/JCHAIN module	742	211	odds_ratio_per_1sd_score	1.2288175049924424	0.9708732831037983	1.5552930406618415	0.20605232890912142	0.12021002528259593	0.08650986602026986	age_z,male	ok		0.17967433711902203
logit	17p13 deletion adjusted for age, sex, ISS	Cp_17p13_Call	XBP1_z	XBP1	660	86	odds_ratio_per_1sd_score	1.2121107741643324	0.9597474964007142	1.5308323640907222	0.19236328129595268	0.1191062933652191	0.10629866359597466	age_z,male,iss_stage_num	ok		0.21259732719194932
logit	Cytogenetic high risk adjusted for age, sex, ISS	Cytogenetic_High_Risk	clinical_subtype_module_score_z	POU2AF1/XBP1/JCHAIN module	630	191	odds_ratio_per_1sd_score	0.8195547599385893	0.6414775450265187	1.0470670559641053	-0.19899406187316482	0.12499338649066734	0.11137645261265476	age_z,male,iss_stage_num	ok		0.21479744432440562
logit	1q21 gain/amplification adjusted for age, sex, ISS	Cp_1q21_Call	POU2AF1_z	POU2AF1	660	233	odds_ratio_per_1sd_score	0.8793225112229405	0.7460701096124436	1.0363745561996471	-0.12860354162505833	0.08384293921198833	0.12506347943854307	age_z,male,iss_stage_num	ok		0.23287682378211466
cox_ph	OS adjusted for age, sex, ISS, cytogenetic high risk	overall_survival	TXNDC5_z	TXNDC5	630	124	hazard_ratio_per_1sd_score	1.1504584137367437	0.9584112254468014	1.3809881672876245	0.14016048358770486	0.09318307274609208	0.13254505610892814	age_z,male,iss_stage_num,Cytogenetic_High_Risk	ok		0.23858110099607063
logit	17p13 deletion adjusted for age, sex, ISS	Cp_17p13_Call	TXNDC5_z	TXNDC5	660	86	odds_ratio_per_1sd_score	0.8458094407705016	0.6740746520185822	1.0612973028346235	-0.1674611920640925	0.11579246044267863	0.14811594187183566	age_z,male,iss_stage_num	ok		0.25800841487352016
logit	1q21 gain/amplification adjusted for age, sex, ISS	Cp_1q21_Call	XBP1_z	XBP1	660	233	odds_ratio_per_1sd_score	1.1227434769185194	0.9529584150225284	1.3227785127783207	0.11577522305435438	0.0836526710190793	0.16635872427379694	age_z,male,iss_stage_num	ok		0.2807303472120324
logit	IMWG non-standard risk adjusted for age, sex, ISS	imwg_risk_nonstandard	plasma_secretory_score_z	Plasma-secretory score	630	300	odds_ratio_per_1sd_score	1.2379128379341822	0.8874888469381577	1.7267013547371872	0.21342676623792278	0.1697888218263761	0.20874890701708604	age_z,male,iss_stage_num	ok		0.33897302037693344
cox_ph	OS adjusted for age, sex, ISS	overall_survival	XBP1_z	XBP1	742	147	hazard_ratio_per_1sd_score	1.1203379748127218	0.9367177897465392	1.3399523224034173	0.11363040301128308	0.09132838266458465	0.21342745727436552	age_z,male,iss_stage_num	ok		0.33897302037693344
logit	ISS III adjusted for age and sex	iss_stage_III	POU2AF1_z	POU2AF1	742	211	odds_ratio_per_1sd_score	1.098247765516654	0.9323055128438518	1.2937262923429014	0.09371596928634553	0.08357687949907457	0.26215400318253845	age_z,male	ok		0.40446617633877363
cox_ph	OS adjusted for age, sex, ISS, 1q21	overall_survival	TXNDC5_z	TXNDC5	660	128	hazard_ratio_per_1sd_score	1.1047146288211493	0.9226423107492763	1.3227167201343386	0.09958704715579211	0.0918881100643899	0.2784596944698362	age_z,male,iss_stage_num,Cp_1q21_Call	ok		0.4176895417047543
cox_ph	OS adjusted for age, sex, ISS, 1q21	overall_survival	POU2AF1_z	POU2AF1	660	128	hazard_ratio_per_1sd_score	1.1063058428340966	0.9146436902707213	1.3381304992402019	0.10102639546401378	0.09706484415837185	0.29796213584284326	age_z,male,iss_stage_num,Cp_1q21_Call	ok		0.43486365771658203
logit	1q21 gain/amplification adjusted for age, sex, ISS	Cp_1q21_Call	clinical_subtype_module_score_z	POU2AF1/XBP1/JCHAIN module	660	233	odds_ratio_per_1sd_score	0.8893377007010618	0.7044316565267303	1.122779674309312	-0.11727824979351265	0.1189212818642024	0.3240428937973725	age_z,male,iss_stage_num	ok		0.4604820069752135
cox_ph	OS adjusted for age, sex, ISS	overall_survival	POU2AF1_z	POU2AF1	742	147	hazard_ratio_per_1sd_score	1.0846824695931516	0.9121698270113938	1.2898212865661935	0.08128728940780817	0.08837570501172143	0.3576813290362104	age_z,male,iss_stage_num	ok		0.4952510709732144
cox_ph	OS adjusted for age, sex, ISS, 1q21	overall_survival	XBP1_z	XBP1	660	128	hazard_ratio_per_1sd_score	1.083086284579318	0.8950101420222458	1.3106844769304016	0.07981463666361442	0.0973137069217705	0.4121142014745276	age_z,male,iss_stage_num,Cp_1q21_Call	ok		0.5563541719906123
cox_ph	OS adjusted for age, sex, ISS, cytogenetic high risk	overall_survival	POU2AF1_z	POU2AF1	630	124	hazard_ratio_per_1sd_score	1.0793433707095175	0.8928421813153914	1.304801829790633	0.07635286615142814	0.09678485128856723	0.43017470155767734	age_z,male,iss_stage_num,Cytogenetic_High_Risk	ok		0.566571558149136
cox_ph	OS adjusted for age, sex, ISS, cytogenetic high risk	overall_survival	XBP1_z	XBP1	630	124	hazard_ratio_per_1sd_score	1.0692099348807127	0.8798901906430504	1.299264268433457	0.06691999712190494	0.09942763253982195	0.5009140164115593	age_z,male,iss_stage_num,Cytogenetic_High_Risk	ok		0.6440323068148619
logit	Cytogenetic high risk adjusted for age, sex, ISS	Cytogenetic_High_Risk	POU2AF1_z	POU2AF1	630	191	odds_ratio_per_1sd_score	0.9464652589322275	0.7973508844041236	1.1234658465765612	-0.05502101377953136	0.08746909532139215	0.5293269555256701	age_z,male,iss_stage_num	ok		0.6555409285667309
logit	ISS III adjusted for age and sex	iss_stage_III	TXNDC5_z	TXNDC5	742	211	odds_ratio_per_1sd_score	1.052206591423687	0.8952238066731084	1.2367172351569582	0.05088947471586366	0.08243418538870287	0.5370140506509103	age_z,male	ok		0.6555409285667309
logit	Cytogenetic high risk adjusted for age, sex, ISS	Cytogenetic_High_Risk	TXNDC5_z	TXNDC5	630	191	odds_ratio_per_1sd_score	0.9486597307776002	0.7993769552772404	1.1258209019634622	-0.05270510022436476	0.08735589817355241	0.5462841071389424	age_z,male,iss_stage_num	ok		0.6555409285667309
logit	ISS III adjusted for age and sex	iss_stage_III	JCHAIN_z	JCHAIN	742	211	odds_ratio_per_1sd_score	1.0444063924683844	0.8868476697188871	1.2299572405423156	0.0434486785330142	0.08343404411239905	0.6025375975993927	age_z,male	ok		0.7073267450079828
logit	IMWG non-standard risk adjusted for age, sex, ISS	imwg_risk_nonstandard	XBP1_z	XBP1	630	300	odds_ratio_per_1sd_score	1.0527357145190679	0.8606143742429513	1.2877457288566192	0.051392218287534736	0.10280661960287457	0.6171510461551364	age_z,male,iss_stage_num	ok		0.7090671594122844
logit	17p13 deletion adjusted for age, sex, ISS	Cp_17p13_Call	JCHAIN_z	JCHAIN	660	86	odds_ratio_per_1sd_score	1.0540823006796323	0.8379218206180037	1.3260061610361094	0.05267053120703656	0.11709235044783041	0.6528399268217306	age_z,male,iss_stage_num	ok		0.7315152338798632
logit	Cytogenetic high risk adjusted for age, sex, ISS	Cytogenetic_High_Risk	plasma_secretory_score_z	Plasma-secretory score	630	191	odds_ratio_per_1sd_score	1.0652814161250264	0.800996628392546	1.4167656333569432	0.06323900474900068	0.14547833975479343	0.6637823418539499	age_z,male,iss_stage_num	ok		0.7315152338798632
logit	IMWG non-standard risk adjusted for age, sex, ISS	imwg_risk_nonstandard	POU2AF1_z	POU2AF1	630	300	odds_ratio_per_1sd_score	1.0326237194980599	0.843326943511631	1.2644108601936321	0.03210286385430637	0.1033180748343727	0.7560144360967881	age_z,male,iss_stage_num	ok		0.8164955909845312
logit	IMWG non-standard risk adjusted for age, sex, ISS	imwg_risk_nonstandard	JCHAIN_z	JCHAIN	630	300	odds_ratio_per_1sd_score	0.9733909774122277	0.8018238795497553	1.1816684674439626	-0.026969450772826697	0.09892696225390683	0.7851454736943441	age_z,male,iss_stage_num	ok		0.8313305015587172
logit	IMWG non-standard risk adjusted for age, sex, ISS	imwg_risk_nonstandard	clinical_subtype_module_score_z	POU2AF1/XBP1/JCHAIN module	630	300	odds_ratio_per_1sd_score	1.0372400841515925	0.7784995056396862	1.3819751770898974	0.03656342043734378	0.14640323630718827	0.8027848504999611	age_z,male,iss_stage_num	ok		0.8336611909038057
logit	IMWG non-standard risk adjusted for age, sex, ISS	imwg_risk_nonstandard	TXNDC5_z	TXNDC5	630	300	odds_ratio_per_1sd_score	0.9838133458145535	0.8052532717703523	1.2019680432653435	-0.016319089136009983	0.10218333601729226	0.8731142371564576	age_z,male,iss_stage_num	ok		0.8895880906877115
logit	Cytogenetic high risk adjusted for age, sex, ISS	Cytogenetic_High_Risk	XBP1_z	XBP1	630	191	odds_ratio_per_1sd_score	1.0067903553883755	0.8479634494706338	1.1953661685958723	0.006767404761919987	0.08759446475531654	0.9384180151277369	age_z,male,iss_stage_num	ok		0.9384180151277369
