dataset	variable	outcome	outcome_label	test_family	n	n_event	n_nonevent	median_event	median_nonevent	delta_event_minus_nonevent	mannwhitney_p	auc_event	median_split_or	median_split_fisher_p	high_event_count	high_nonevent_count	low_event_count	low_nonevent_count	high_n	low_n	high_events	low_events	high_median_time	low_median_time	logrank_chi2	logrank_p	mannwhitney_fdr	median_split_fisher_fdr	logrank_fdr	best_fdr
GSE2658	clinical_subtype_module_score_z	AMP_high_3plus	FISH 1q21 amplification >=3 copies	binary	248	114	134.0	-0.15126169371016862	0.3162318805010346	-0.46749357421120324	5.510565213847615e-06	0.33248232521602517	0.3699186991869919	0.00020605430262387496	42.0	82.0	72.0	52.0									1.6531695641542845e-05	0.0006181629078716249		1.6531695641542845e-05
GSE2658	POU2AF1_z	AMP_high_3plus	FISH 1q21 amplification >=3 copies	binary	248	114	134.0	-0.2821747419555795	0.34110729103831894	-0.6232820329938984	4.459037071669365e-06	0.3308457711442786	0.32175032175032175	2.341818173313778e-05	40.0	84.0	74.0	50.0									1.6531695641542845e-05	0.0001405090903988267		1.6531695641542845e-05
GSE2658	XBP1_z	AMP_high_3plus	FISH 1q21 amplification >=3 copies	binary	248	114	134.0	-0.37580041994014735	0.22470094863765563	-0.600501368577803	4.956362040834357e-05	0.3504189578423671	0.519286683465788	0.015310121807222462	47.0	77.0	67.0	57.0									9.912724081668714e-05	0.03062024361444492		9.912724081668714e-05
GSE2658	JCHAIN_z	AMP_high_3plus	FISH 1q21 amplification >=3 copies	binary	248	114	134.0	0.12914476335666208	0.42904058701288394	-0.29989582365622186	0.008111548004594932	0.4023959151610369	0.6334459459459459	0.09744259292743278	50.0	74.0	64.0	60.0									0.012167322006892398	0.14616388939114916		0.012167322006892398
GSE24080	XBP1_z	os_24mo_event	24-month OS death	binary	559	78	481.0	-0.12906098639164165	0.26218131760646646	-0.3912423039981081	0.006032506465670834	0.4031398262167493	0.6094468085106383	0.05088278642823811	31.0	250.0	47.0	231.0									0.036195038794025004	0.30529671856942864		0.036195038794025004
GSE24080	XBP1_z	efs_24mo_event	24-month EFS event	binary	559	118	441.0	0.014329555076360887	0.26418309592233036	-0.24985354084596947	0.019753438855534353	0.4301856335754641	0.6983127839065542	0.09723062446092072	51.0	230.0	67.0	211.0									0.11852063313320613	0.5833837467655243		0.11852063313320613
GSE2658	JCHAIN_z	SURIND	Disease-related death indicator	binary	559	100	459.0	0.1539000190314696	-0.07049419657476302	0.22439421560623263	0.023364544009365093	0.5723093681917212	1.4742599742599742	0.09758731759088526	58.0	222.0	42.0	237.0									0.14018726405619056	0.19517463518177056		0.14018726405619056
GSE2658	XBP1_z	SURIND	Disease-related death indicator	binary	559	100	459.0	0.09386774890007822	-0.1701199149083375	0.2639876638084157	0.12716111661070637	0.5486492374727668	1.4742599742599742	0.09758731759088526	58.0	222.0	42.0	237.0									0.2905735394730845	0.19517463518177056		0.19517463518177056
GSE2658	TXNDC5_z	SURIND	Disease-related death indicator	binary	559	100	459.0	0.044210314757031036	-0.2096595404530911	0.2538698552101221	0.22559908555399188	0.5386492374727669	1.4742599742599742	0.09758731759088526	58.0	222.0	42.0	237.0									0.3383986283309878	0.19517463518177056		0.19517463518177056
GSE2658	POU2AF1_z	SURTIM/SURIND	Disease-related survival	survival_logrank	558	99													279.0	279.0	45.0	54.0	27.52	17.83	4.407891092553017	0.03577303986577149			0.21463823919462893	0.21463823919462893
GSE2658	clinical_subtype_module_score_z	SURIND	Disease-related death indicator	binary	559	100	459.0	0.0633433682769673	-0.129882018412775	0.1932253866897423	0.14528676973654225	0.5464488017429194	1.4028574408176036	0.151226211369263	57.0	223.0	43.0	236.0									0.2905735394730845	0.2268393170538945		0.2268393170538945
GSE2658	POU2AF1_z	SURIND	Disease-related death indicator	binary	559	100	459.0	-0.16828113483672072	-0.07475076775672194	-0.09353036707999877	0.5209192307488203	0.47952069716775597	0.8190883190883191	0.3793262603607873	46.0	234.0	54.0	225.0									0.5209192307488203	0.45519151243294476		0.45519151243294476
GSE24080	plasma_secretory_score_z	os_24mo_event	24-month OS death	binary	559	78	481.0	-0.0743798103795105	0.0441126429102854	-0.11849245328979591	0.1695748300123202	0.45154325923556693	0.7381744271988174	0.22459413936214775	34.0	246.0	44.0	235.0									0.5087244900369606	0.6737824180864432		0.5087244900369606
GSE2658	plasma_secretory_score_z	SURIND	Disease-related death indicator	binary	559	100	459.0	-0.0036956957487112	-0.0298488910851597	0.0261531953364485	0.43662846439960046	0.5248148148148148	1.1524978910863248	0.581322995959464	53.0	227.0	47.0	232.0									0.5209192307488203	0.581322995959464		0.5209192307488203
GSE24080	JCHAIN_z	efs_24mo_event	24-month EFS event	binary	559	118	441.0	0.282864862342762	0.21427044701392606	0.06859441532883592	0.20410709205596267	0.5380395095891464	1.1325360419397117	0.6045112732800499	62.0	218.0	56.0	223.0									0.612321276167888	0.72541352793606		0.612321276167888
GSE24080	TXNDC5_z	os_24mo_event	24-month OS death	binary	559	78	481.0	-0.08837033232851853	-0.016610890477541947	-0.07175944185097657	0.4781574170663303	0.4749720134335519	0.832552693208431	0.46655131083746904	36.0	244.0	42.0	237.0									0.7172361255994955	0.6998269662562036		0.6998269662562036
GSE24080	POU2AF1_z	os_24mo_event	24-month OS death	binary	559	78	481.0	0.18853173142323815	0.09623220532230756	0.09229952610093059	0.6655323618425046	0.5152593421824191	1.264858348402652	0.3930370878544018	43.0	237.0	35.0	244.0									0.7417732685630636	0.6998269662562036		0.6998269662562036
GSE2658	plasma_secretory_score_z	AMP_high_3plus	FISH 1q21 amplification >=3 copies	binary	248	114	134.0	0.03297658748273695	0.0578114008055089	-0.024834813322771952	0.5910649655589217	0.48016496465043207	0.9371196754563894	0.8986470855909232	56.0	68.0	58.0	66.0									0.7092779586707061	0.8986470855909232		0.7092779586707061
GSE24080	clinical_subtype_module_score_z	os_24mo_event	24-month OS death	binary	559	78	481.0	0.06168528812659824	0.08041219941440665	-0.018726911287808415	0.38540741372063303	0.4693747001439309	0.8838703201846834	0.6274711566495974	37.0	243.0	41.0	238.0									0.7172361255994955	0.7529653879795168		0.7172361255994955
GSE24080	plasma_secretory_score_z	efs_24mo_event	24-month EFS event	binary	559	118	441.0	-0.044629669686161846	0.0441126429102854	-0.08874231259644724	0.5799404579689971	0.483415965256159	0.8026825221238938	0.30159195039184056	54.0	226.0	64.0	215.0									0.9751716416904214	0.72541352793606		0.72541352793606
GSE24080	clinical_subtype_module_score_z	efs_24mo_event	24-month EFS event	binary	559	118	441.0	0.11631731802664227	0.07406054928480382	0.04225676874183845	0.9751716416904214	0.4990583804143126	1.1824046920821114	0.4683431765222259	63.0	217.0	55.0	224.0									0.9751716416904214	0.72541352793606		0.72541352793606
GSE24080	POU2AF1_z	efs_24mo_event	24-month EFS event	binary	559	118	441.0	0.16838973203579224	0.09623220532230756	0.07215752671348469	0.8403109164846928	0.5060436604020139	1.1325360419397117	0.6045112732800499	62.0	218.0	56.0	223.0									0.9751716416904214	0.72541352793606		0.72541352793606
GSE24080	JCHAIN_z	os_24mo_event	24-month OS death	binary	559	78	481.0	0.22241984705616985	0.22612411980264516	-0.0037042727464753067	0.7417732685630636	0.5116344154805693	0.9382231404958677	0.8083066495320663	38.0	242.0	40.0	239.0									0.7417732685630636	0.8083066495320663		0.7417732685630636
GSE2658	TXNDC5_z	AMP_high_3plus	FISH 1q21 amplification >=3 copies	binary	248	114	134.0	0.0496009807530793	0.08150554591107974	-0.031904565158000435	0.7539045004878965	0.4884131971720346	0.9371196754563894	0.8986470855909232	56.0	68.0	58.0	66.0									0.7539045004878965	0.8986470855909232		0.7539045004878965
GSE24080	TXNDC5_z	efs_24mo_event	24-month EFS event	binary	559	118	441.0	-0.026730811764218734	-0.028110801030584495	0.001379989266365761	0.788519756114383	0.4919578000691802	0.995475113122172	1.0	59.0	221.0	59.0	220.0									0.9751716416904214	1.0		0.9751716416904214
GSE2658	TXNDC5_z	SURTIM/SURIND	Disease-related survival	survival_logrank	558	99													279.0	279.0	57.0	42.0	27.92	17.83	0.1301721911465399	0.7182535720294589			0.9822679755138776	0.9822679755138776
GSE2658	JCHAIN_z	SURTIM/SURIND	Disease-related survival	survival_logrank	558	99													279.0	279.0	57.0	42.0	30.0	18.13	0.0004939784807106764	0.9822679755138776			0.9822679755138776	0.9822679755138776
GSE2658	XBP1_z	SURTIM/SURIND	Disease-related survival	survival_logrank	558	99													279.0	279.0	57.0	42.0	26.07	20.7	0.45582617544241816	0.49958110335817685			0.9822679755138776	0.9822679755138776
GSE2658	clinical_subtype_module_score_z	SURTIM/SURIND	Disease-related survival	survival_logrank	558	99													279.0	279.0	56.0	43.0	28.34	17.88	0.010677761934104288	0.917698481880724			0.9822679755138776	0.9822679755138776
GSE2658	plasma_secretory_score_z	SURTIM/SURIND	Disease-related survival	survival_logrank	558	99													279.0	279.0	52.0	47.0	27.18	19.8	0.06786031948306179	0.7944780124519297			0.9822679755138776	0.9822679755138776
