table	sheet	id_column	rows	unique_ids	local_id_overlap	candidate_fields	status
Supplementary Table 1	1A_Patient_features	Patient_ID	1143	1143	762	Patient_ID; ISS_Stage; Serum_Albumin; Serum_B2M; Serum_LDH; IMWG_Risk_Class; Cytogenetic_High_Risk; RNA_Subtype_ID; RNA_Subtype_Name; CNA_Subtype_ID; CNA_Subtype_Name; TP53_Funct_Copies; TP53_NS_Mut_Count; CCND1_Tx_Call; CCND1_Tx_Ig_Source; CCND2_Tx_Call; CCND2_Tx_Ig_Source; CCND3_Tx_Call; CCND3_Tx_Ig_Source; MAF_Tx_Call; MAF_Tx_Ig_Source; MAFA_Tx_Call; MAFA_Tx_Ig_Source; MAFB_Tx_Call; MAFB_Tx_Ig_Source; WHSC1_Tx_Call; WHSC1_Tx_Ig_Source; WHSC1_IgH_VDJH_Fusion; WHSC1_IgH_CH_Fusion; WHSC1_Any_IgH_Fusion; WHSC1_IgK_VL_Fusion; Hyperdiploid_Call; Hyperdiploid_Chr_Count; Cp_1q21_Call; Cp_11q23_Call; Cp_13q14_Call; Cp_13q34_Call; Cp_17p13_Call; Cp_21q21_Call; Cp_21q22_Call; Tetra_Cp_1q21	ok
Supplementary Table 1	1A_Patient_features	Visit_ID	1143	1143	762	Patient_ID; ISS_Stage; Serum_Albumin; Serum_B2M; Serum_LDH; IMWG_Risk_Class; Cytogenetic_High_Risk; RNA_Subtype_ID; RNA_Subtype_Name; CNA_Subtype_ID; CNA_Subtype_Name; TP53_Funct_Copies; TP53_NS_Mut_Count; CCND1_Tx_Call; CCND1_Tx_Ig_Source; CCND2_Tx_Call; CCND2_Tx_Ig_Source; CCND3_Tx_Call; CCND3_Tx_Ig_Source; MAF_Tx_Call; MAF_Tx_Ig_Source; MAFA_Tx_Call; MAFA_Tx_Ig_Source; MAFB_Tx_Call; MAFB_Tx_Ig_Source; WHSC1_Tx_Call; WHSC1_Tx_Ig_Source; WHSC1_IgH_VDJH_Fusion; WHSC1_IgH_CH_Fusion; WHSC1_Any_IgH_Fusion; WHSC1_IgK_VL_Fusion; Hyperdiploid_Call; Hyperdiploid_Chr_Count; Cp_1q21_Call; Cp_11q23_Call; Cp_13q14_Call; Cp_13q34_Call; Cp_17p13_Call; Cp_21q21_Call; Cp_21q22_Call; Tetra_Cp_1q21	ok
Supplementary Table 1	1A_Patient_features	Specimen_ID	1143	990	762	Patient_ID; ISS_Stage; Serum_Albumin; Serum_B2M; Serum_LDH; IMWG_Risk_Class; Cytogenetic_High_Risk; RNA_Subtype_ID; RNA_Subtype_Name; CNA_Subtype_ID; CNA_Subtype_Name; TP53_Funct_Copies; TP53_NS_Mut_Count; CCND1_Tx_Call; CCND1_Tx_Ig_Source; CCND2_Tx_Call; CCND2_Tx_Ig_Source; CCND3_Tx_Call; CCND3_Tx_Ig_Source; MAF_Tx_Call; MAF_Tx_Ig_Source; MAFA_Tx_Call; MAFA_Tx_Ig_Source; MAFB_Tx_Call; MAFB_Tx_Ig_Source; WHSC1_Tx_Call; WHSC1_Tx_Ig_Source; WHSC1_IgH_VDJH_Fusion; WHSC1_IgH_CH_Fusion; WHSC1_Any_IgH_Fusion; WHSC1_IgK_VL_Fusion; Hyperdiploid_Call; Hyperdiploid_Chr_Count; Cp_1q21_Call; Cp_11q23_Call; Cp_13q14_Call; Cp_13q34_Call; Cp_17p13_Call; Cp_21q21_Call; Cp_21q22_Call; Tetra_Cp_1q21	ok
Supplementary Table 1	1A_Patient_features	RNA_Subtype_ID	1143	12	0	Patient_ID; ISS_Stage; Serum_Albumin; Serum_B2M; Serum_LDH; IMWG_Risk_Class; Cytogenetic_High_Risk; RNA_Subtype_ID; RNA_Subtype_Name; CNA_Subtype_ID; CNA_Subtype_Name; TP53_Funct_Copies; TP53_NS_Mut_Count; CCND1_Tx_Call; CCND1_Tx_Ig_Source; CCND2_Tx_Call; CCND2_Tx_Ig_Source; CCND3_Tx_Call; CCND3_Tx_Ig_Source; MAF_Tx_Call; MAF_Tx_Ig_Source; MAFA_Tx_Call; MAFA_Tx_Ig_Source; MAFB_Tx_Call; MAFB_Tx_Ig_Source; WHSC1_Tx_Call; WHSC1_Tx_Ig_Source; WHSC1_IgH_VDJH_Fusion; WHSC1_IgH_CH_Fusion; WHSC1_Any_IgH_Fusion; WHSC1_IgK_VL_Fusion; Hyperdiploid_Call; Hyperdiploid_Chr_Count; Cp_1q21_Call; Cp_11q23_Call; Cp_13q14_Call; Cp_13q34_Call; Cp_17p13_Call; Cp_21q21_Call; Cp_21q22_Call; Tetra_Cp_1q21	ok
Supplementary Table 1	1A_Patient_features	Myeloid_Broyl	1143	714	0	Patient_ID; ISS_Stage; Serum_Albumin; Serum_B2M; Serum_LDH; IMWG_Risk_Class; Cytogenetic_High_Risk; RNA_Subtype_ID; RNA_Subtype_Name; CNA_Subtype_ID; CNA_Subtype_Name; TP53_Funct_Copies; TP53_NS_Mut_Count; CCND1_Tx_Call; CCND1_Tx_Ig_Source; CCND2_Tx_Call; CCND2_Tx_Ig_Source; CCND3_Tx_Call; CCND3_Tx_Ig_Source; MAF_Tx_Call; MAF_Tx_Ig_Source; MAFA_Tx_Call; MAFA_Tx_Ig_Source; MAFB_Tx_Call; MAFB_Tx_Ig_Source; WHSC1_Tx_Call; WHSC1_Tx_Ig_Source; WHSC1_IgH_VDJH_Fusion; WHSC1_IgH_CH_Fusion; WHSC1_Any_IgH_Fusion; WHSC1_IgK_VL_Fusion; Hyperdiploid_Call; Hyperdiploid_Chr_Count; Cp_1q21_Call; Cp_11q23_Call; Cp_13q14_Call; Cp_13q34_Call; Cp_17p13_Call; Cp_21q21_Call; Cp_21q22_Call; Tetra_Cp_1q21	ok
Supplementary Table 1	1A_Patient_features	CNA_Subtype_ID	1143	8	0	Patient_ID; ISS_Stage; Serum_Albumin; Serum_B2M; Serum_LDH; IMWG_Risk_Class; Cytogenetic_High_Risk; RNA_Subtype_ID; RNA_Subtype_Name; CNA_Subtype_ID; CNA_Subtype_Name; TP53_Funct_Copies; TP53_NS_Mut_Count; CCND1_Tx_Call; CCND1_Tx_Ig_Source; CCND2_Tx_Call; CCND2_Tx_Ig_Source; CCND3_Tx_Call; CCND3_Tx_Ig_Source; MAF_Tx_Call; MAF_Tx_Ig_Source; MAFA_Tx_Call; MAFA_Tx_Ig_Source; MAFB_Tx_Call; MAFB_Tx_Ig_Source; WHSC1_Tx_Call; WHSC1_Tx_Ig_Source; WHSC1_IgH_VDJH_Fusion; WHSC1_IgH_CH_Fusion; WHSC1_Any_IgH_Fusion; WHSC1_IgK_VL_Fusion; Hyperdiploid_Call; Hyperdiploid_Chr_Count; Cp_1q21_Call; Cp_11q23_Call; Cp_13q14_Call; Cp_13q34_Call; Cp_17p13_Call; Cp_21q21_Call; Cp_21q22_Call; Tetra_Cp_1q21	ok
Supplementary Table 1	1A_Patient_features	Hyperdiploid_Call	1143	2	0	Patient_ID; ISS_Stage; Serum_Albumin; Serum_B2M; Serum_LDH; IMWG_Risk_Class; Cytogenetic_High_Risk; RNA_Subtype_ID; RNA_Subtype_Name; CNA_Subtype_ID; CNA_Subtype_Name; TP53_Funct_Copies; TP53_NS_Mut_Count; CCND1_Tx_Call; CCND1_Tx_Ig_Source; CCND2_Tx_Call; CCND2_Tx_Ig_Source; CCND3_Tx_Call; CCND3_Tx_Ig_Source; MAF_Tx_Call; MAF_Tx_Ig_Source; MAFA_Tx_Call; MAFA_Tx_Ig_Source; MAFB_Tx_Call; MAFB_Tx_Ig_Source; WHSC1_Tx_Call; WHSC1_Tx_Ig_Source; WHSC1_IgH_VDJH_Fusion; WHSC1_IgH_CH_Fusion; WHSC1_Any_IgH_Fusion; WHSC1_IgK_VL_Fusion; Hyperdiploid_Call; Hyperdiploid_Chr_Count; Cp_1q21_Call; Cp_11q23_Call; Cp_13q14_Call; Cp_13q34_Call; Cp_17p13_Call; Cp_21q21_Call; Cp_21q22_Call; Tetra_Cp_1q21	ok
Supplementary Table 1	1A_Patient_features	Hyperdiploid_Chr_Count	1143	9	0	Patient_ID; ISS_Stage; Serum_Albumin; Serum_B2M; Serum_LDH; IMWG_Risk_Class; Cytogenetic_High_Risk; RNA_Subtype_ID; RNA_Subtype_Name; CNA_Subtype_ID; CNA_Subtype_Name; TP53_Funct_Copies; TP53_NS_Mut_Count; CCND1_Tx_Call; CCND1_Tx_Ig_Source; CCND2_Tx_Call; CCND2_Tx_Ig_Source; CCND3_Tx_Call; CCND3_Tx_Ig_Source; MAF_Tx_Call; MAF_Tx_Ig_Source; MAFA_Tx_Call; MAFA_Tx_Ig_Source; MAFB_Tx_Call; MAFB_Tx_Ig_Source; WHSC1_Tx_Call; WHSC1_Tx_Ig_Source; WHSC1_IgH_VDJH_Fusion; WHSC1_IgH_CH_Fusion; WHSC1_Any_IgH_Fusion; WHSC1_IgK_VL_Fusion; Hyperdiploid_Call; Hyperdiploid_Chr_Count; Cp_1q21_Call; Cp_11q23_Call; Cp_13q14_Call; Cp_13q34_Call; Cp_17p13_Call; Cp_21q21_Call; Cp_21q22_Call; Tetra_Cp_1q21	ok
Supplementary Table 1	1B_Patient_features_dictionary	Patient_ID	147	147	0	Patient_ID; Patient_identifier	ok
Supplementary Table 1	1B_Patient_features_dictionary	Patient_identifier	147	146	0	Patient_ID; Patient_identifier	ok
Supplementary Table 7	7A_RNA_subtype_predictions	Patient_ID	825	745	712	Patient_ID; RNA_Subtype_ID; RNA_Subtype_Name; MAF; 1q gain; HRD, low TP53	ok
Supplementary Table 7	7A_RNA_subtype_predictions	Visit_ID	825	745	712	Patient_ID; RNA_Subtype_ID; RNA_Subtype_Name; MAF; 1q gain; HRD, low TP53	ok
Supplementary Table 7	7A_RNA_subtype_predictions	Specimen_ID	825	745	712	Patient_ID; RNA_Subtype_ID; RNA_Subtype_Name; MAF; 1q gain; HRD, low TP53	ok
Supplementary Table 7	7A_RNA_subtype_predictions	RNA_Subtype_ID	825	12	0	Patient_ID; RNA_Subtype_ID; RNA_Subtype_Name; MAF; 1q gain; HRD, low TP53	ok
Supplementary Table 7	7B_RNA_subtype_dictionary	Patient_ID	17	17	0	Patient_ID; Patient_identifier	ok
Supplementary Table 7	7B_RNA_subtype_dictionary	Patient_identifier	17	17	0	Patient_ID; Patient_identifier	ok
Supplementary Table 7	7C_Model_coefficients	RNA_Subtype_ID	607	12	0	RNA_Subtype_Name; RNA_Subtype_ID	ok
